symbol,hull,kj,snkb,sl,tp,n,wr,pf,ret,dd,final
PLUME,16,60,40,8.0,20.0,68,44.1,1.58,90.2,-20.4,190.20000000000002
POPCAT,16,60,26,10.0,20.0,102,42.2,1.3,88.7,-32.2,188.7
PLUME,16,60,52,8.0,15.0,64,46.9,1.58,87.6,-20.4,187.6
LRC,16,60,52,10.0,20.0,227,37.0,1.18,86.1,-43.8,186.1
POPCAT,16,60,52,10.0,,94,42.6,1.32,83.7,-25.8,183.70000000000002
POPCAT,16,60,40,10.0,20.0,100,41.0,1.31,82.7,-27.0,182.7
LRC,16,48,52,8.0,20.0,253,36.8,1.13,82.1,-50.2,182.1
MUBARAK,8,24,26,10.0,20.0,163,36.8,1.32,78.0,-31.2,178.0
PLUME,16,60,26,10.0,20.0,70,45.7,1.58,75.9,-21.9,175.89999999999998
LRC,16,60,40,6.0,15.0,243,36.6,1.1,74.5,-47.9,174.5
LRC,16,48,52,10.0,20.0,253,36.8,1.15,73.1,-43.4,173.1
PEAQ,16,48,52,10.0,10.0,71,45.1,1.67,69.2,-13.7,169.20000000000002
LRC,16,48,52,6.0,12.0,258,37.6,1.11,69.0,-49.9,169.0
PLUME,16,60,52,10.0,20.0,64,46.9,1.6,68.7,-16.6,168.70000000000002
LRC,8,48,26,6.0,20.0,389,36.8,1.1,63.8,-53.2,163.79999999999998
LRC,8,48,26,8.0,20.0,388,36.9,1.13,58.9,-42.4,158.9
MUBARAK,8,36,26,10.0,20.0,131,36.6,1.31,57.1,-26.0,157.10000000000002
LRC,16,60,40,10.0,15.0,240,37.1,1.12,48.4,-37.5,148.4
LRC,8,48,26,10.0,20.0,388,36.9,1.12,43.9,-36.1,143.9
HFT,16,24,26,10.0,5.0,403,45.4,1.04,20.0,-45.3,120.0
HFT,16,24,26,10.0,10.0,317,38.2,1.03,14.0,-45.3,114.00000000000001
HFT,16,60,40,10.0,,176,36.9,1.06,13.3,-46.8,113.3
HFT,16,60,40,8.0,,176,36.9,1.04,12.5,-53.0,112.5
HFT,16,60,40,6.0,5.0,206,44.2,1.02,10.5,-45.4,110.5
HFT,16,60,26,10.0,,178,36.0,1.04,8.5,-45.7,108.5
HFT,16,60,40,10.0,5.0,206,44.2,1.03,8.3,-36.2,108.3
HFT,16,60,26,8.0,,178,36.0,1.03,7.5,-51.8,107.5
HFT,16,60,40,10.0,10.0,180,37.8,1.02,6.1,-38.9,106.1
HFT,16,60,26,10.0,10.0,182,36.8,1.02,5.1,-37.7,105.1
