symbol,hull,kj,snkb,sl,tp,n,wr,pf,ret,dd,final
SKL,16,48,26,6.0,15.0,240,42.9,1.29,1152.7,-54.9,1252.7
SKL,16,48,40,5.0,12.0,232,43.1,1.26,1151.5,-54.6,1251.5
XCN,12,36,40,8.0,,319,35.4,1.71,1148.9,-37.1,1248.9
SPK,8,60,52,4.0,,97,39.2,1.95,1135.8,-40.2,1235.8
AXS,10,48,26,5.0,,342,40.1,1.29,1124.6,-54.2,1224.6
SPK,8,36,52,4.0,,106,37.7,1.97,1088.7,-45.7,1188.7
BROCCOLI,16,24,52,3.0,15.0,113,34.5,1.32,1069.2,-51.5,1169.2
SKL,16,36,26,5.0,15.0,280,40.7,1.29,1056.5,-46.7,1156.5
SUN,8,24,52,8.0,,457,40.7,1.9,1037.9,-19.9,1137.9
SPK,8,60,26,4.0,,102,40.2,1.83,1000.7,-44.8,1100.7
XCN,10,60,40,8.0,,276,34.1,1.72,987.2,-33.9,1087.2
XCN,12,60,40,10.0,,267,31.8,1.91,952.6,-29.2,1052.6
XCN,12,60,26,10.0,,265,31.7,1.86,942.4,-30.6,1042.3999999999999
SPK,8,60,40,4.0,,103,38.8,1.79,903.9,-49.7,1003.9
AXS,10,48,40,5.0,,324,40.4,1.26,903.5,-54.5,1003.5
SPK,8,36,52,5.0,,105,38.1,2.09,882.2,-38.1,982.2
SPK,8,60,52,5.0,,96,39.6,2.04,880.3,-30.4,980.3
AXS,10,48,52,5.0,,297,39.7,1.29,874.1,-53.5,974.0999999999999
SPK,8,36,40,4.0,,112,36.6,1.8,846.7,-50.2,946.7
AKT,8,60,40,3.0,8.0,200,39.5,1.38,831.3,-45.3,931.2999999999998
XCN,12,36,40,10.0,,319,35.4,1.77,826.2,-29.7,926.2
AKT,8,60,52,3.0,8.0,187,40.1,1.45,823.9,-47.7,923.8999999999999
AKT,8,24,52,3.0,10.0,301,38.5,1.22,795.9,-47.5,895.9
RSR,10,60,52,5.0,5.0,197,48.2,1.85,758.5,-37.1,858.5000000000001
ILV,10,36,40,8.0,20.0,329,40.4,1.56,753.2,-26.5,853.2
AKT,8,60,40,3.0,15.0,195,38.5,1.38,746.3,-52.9,846.3
AKT,8,24,52,3.0,20.0,298,38.3,1.24,746.2,-53.3,846.1999999999999
XCN,10,60,40,10.0,,276,34.1,1.83,740.2,-25.8,840.2
SKL,16,48,40,8.0,,222,43.2,1.37,719.8,-45.8,819.8000000000001
AXS,10,48,26,5.0,20.0,342,40.1,1.2,686.7,-54.1,786.7
XCN,12,48,40,10.0,,299,33.8,1.71,682.9,-30.6,782.9
ILV,10,36,26,8.0,20.0,346,39.0,1.54,678.2,-30.9,778.2
AKT,8,24,52,3.0,15.0,299,38.5,1.21,677.6,-53.5,777.6
SPK,8,36,52,6.0,,105,38.1,2.12,675.3,-34.4,775.3
AXS,10,48,26,6.0,,342,40.1,1.31,671.7,-47.5,771.7
STG,16,60,52,5.0,20.0,211,42.2,1.48,666.5,-43.0,766.5
ILV,10,36,40,8.0,12.0,331,40.2,1.53,663.6,-26.5,763.6
STG,16,60,26,5.0,15.0,231,40.3,1.51,658.1,-41.0,758.1
SUN,8,24,52,10.0,,457,40.7,1.93,651.7,-17.4,751.7
SKL,16,48,26,8.0,,234,42.3,1.36,648.3,-47.1,748.3
BROCCOLI,16,48,26,3.0,12.0,93,38.7,1.59,641.7,-54.3,741.7
AKT,8,60,52,4.0,8.0,180,41.7,1.54,624.4,-36.3,724.4
AKT,8,60,40,4.0,8.0,192,41.1,1.47,610.0,-34.3,710.0
AKT,8,60,26,3.0,8.0,202,38.1,1.38,609.6,-50.9,709.6
STG,16,60,52,5.0,15.0,211,42.2,1.46,605.1,-39.5,705.1
SKL,16,48,40,8.0,15.0,226,43.8,1.37,602.0,-42.9,702.0
ATOM,10,60,40,3.0,5.0,349,41.0,1.24,592.6,-50.8,692.6
AKT,8,24,52,4.0,10.0,296,40.2,1.29,585.7,-37.5,685.7
BROCCOLI,16,24,52,3.0,,111,32.4,1.34,584.3,-51.5,684.3
ATOM,12,36,40,4.0,5.0,426,42.5,1.21,582.0,-43.8,682.0
ATOM,10,60,26,3.0,5.0,352,40.9,1.23,576.1,-49.8,676.1
SUN,8,48,52,10.0,,436,39.4,1.84,571.4,-20.9,671.4
XRP,8,24,40,4.0,20.0,513,34.9,1.29,569.9,-53.8,669.9
STG,16,60,26,5.0,20.0,231,39.8,1.42,567.4,-41.8,667.4
STG,16,60,40,5.0,20.0,232,40.5,1.41,566.9,-44.9,666.9
ATOM,12,36,40,5.0,5.0,425,43.1,1.26,566.6,-37.4,666.6
XRP,8,60,40,3.0,5.0,483,36.9,1.2,566.1,-50.3,666.1
XRP,8,60,40,4.0,5.0,481,37.2,1.31,559.4,-43.7,659.4
AXS,10,48,52,6.0,,297,39.7,1.31,552.4,-46.9,652.4
SKL,16,48,26,8.0,15.0,238,42.9,1.35,550.5,-44.3,650.5
BROCCOLI,16,48,26,3.0,8.0,103,38.8,1.56,546.3,-52.7,646.3
AXS,10,48,40,6.0,,324,40.4,1.28,545.4,-47.8,645.4
AXS,10,48,40,5.0,20.0,324,40.4,1.17,545.1,-54.5,645.1
AXS,10,60,40,5.0,,295,41.0,1.27,539.7,-49.6,639.7
SUN,8,36,52,10.0,,454,39.9,1.83,534.5,-21.1,634.5
BROCCOLI,16,48,26,3.0,10.0,94,38.3,1.57,528.0,-53.6,628.0
STG,16,60,26,5.0,12.0,232,40.1,1.51,526.1,-46.9,626.1
ATOM,12,36,40,5.0,12.0,364,41.8,1.36,525.7,-37.7,625.7
BROCCOLI,16,24,52,5.0,15.0,100,40.0,1.49,520.0,-35.8,620.0
BROCCOLI,16,24,52,3.0,12.0,117,34.2,1.27,513.0,-51.2,613.0
STG,16,60,40,5.0,15.0,232,40.5,1.39,512.0,-44.1,612.0
ILV,10,36,40,10.0,20.0,328,40.5,1.6,510.7,-22.9,610.7
BROCCOLI,16,48,26,4.0,,86,39.5,1.76,507.8,-43.8,607.8000000000001
SUN,8,48,52,10.0,20.0,437,39.4,1.81,507.8,-20.9,607.8000000000001
SUN,8,24,52,10.0,20.0,457,40.7,1.81,506.5,-17.4,606.5
XRP,8,24,52,4.0,20.0,489,34.4,1.26,506.0,-52.4,606.0
AXS,10,48,52,5.0,20.0,297,39.7,1.19,505.5,-53.5,605.5
STG,16,60,52,5.0,12.0,212,42.0,1.48,502.5,-45.7,602.5
SKL,16,48,40,8.0,20.0,222,43.7,1.35,501.8,-45.8,601.8
BROCCOLI,16,48,40,3.0,20.0,91,35.2,1.44,498.9,-54.9,598.9
XRP,8,24,40,5.0,,511,35.0,1.3,494.8,-49.7,594.8000000000001
SUN,8,36,52,10.0,20.0,455,39.8,1.8,488.4,-21.1,588.4
BROCCOLI,16,24,52,3.0,20.0,112,32.1,1.29,483.2,-51.5,583.1999999999999
XRP,10,24,40,4.0,12.0,436,35.8,1.2,479.4,-52.5,579.4
ILV,10,36,26,10.0,20.0,345,39.1,1.57,470.0,-26.6,570.0
SPK,8,36,52,8.0,,105,38.1,2.27,469.1,-27.5,569.1
SPK,8,60,52,8.0,,96,39.6,2.24,464.5,-22.3,564.5
ATOM,12,60,26,4.0,5.0,328,43.6,1.31,459.3,-37.2,559.3
BROCCOLI,16,48,40,4.0,,85,38.8,1.68,457.9,-45.3,557.9
XRP,10,24,40,4.0,20.0,430,35.1,1.17,457.7,-52.5,557.7
ATOM,12,36,40,6.0,5.0,424,43.2,1.28,456.3,-31.9,556.3
STG,10,60,40,5.0,20.0,276,42.8,1.39,456.2,-39.4,556.2
ILV,10,36,40,10.0,12.0,330,40.3,1.56,455.4,-22.8,555.4
XRP,8,24,40,5.0,20.0,511,35.0,1.31,450.3,-45.3,550.3
XRP,10,24,40,5.0,12.0,435,36.3,1.25,449.7,-46.3,549.7
ATOM,12,36,40,5.0,10.0,366,41.5,1.33,449.4,-37.7,549.4
XRP,10,24,40,5.0,20.0,429,35.7,1.22,446.2,-46.3,546.1999999999999
STG,16,60,52,5.0,,211,42.2,1.4,436.3,-43.0,536.3000000000001
ATOM,12,60,40,4.0,5.0,322,43.5,1.29,433.5,-33.5,533.5
SPK,8,60,26,8.0,,101,40.6,2.11,432.2,-23.6,532.2
AXS,10,48,26,8.0,,342,40.1,1.38,425.5,-37.4,525.5
SKL,16,48,40,10.0,,221,43.0,1.39,423.3,-42.3,523.3000000000001
SKL,16,48,40,8.0,10.0,230,44.3,1.36,414.7,-30.7,514.7
ATOM,12,36,40,6.0,12.0,363,41.9,1.38,412.0,-32.1,512.0
STG,16,60,26,6.0,15.0,231,40.3,1.48,411.0,-40.0,511.00000000000006
AKT,8,60,52,5.0,8.0,180,41.7,1.61,409.1,-30.9,509.1
SPK,8,36,40,8.0,,111,36.9,2.09,407.4,-27.0,507.4
AXS,10,48,52,8.0,,297,39.7,1.4,403.7,-36.9,503.7
STG,16,60,52,6.0,20.0,211,42.2,1.44,391.8,-42.7,491.8
SKL,16,48,26,10.0,,233,42.1,1.37,390.1,-43.4,490.09999999999997
AXS,10,48,40,8.0,,324,40.4,1.35,388.0,-37.7,488.0
XRP,8,60,40,5.0,5.0,480,37.3,1.32,381.7,-34.8,481.70000000000005
XRP,8,24,40,6.0,,511,35.0,1.32,381.2,-44.3,481.19999999999993
YGG,8,48,26,8.0,8.0,295,43.1,1.38,368.5,-24.4,468.50000000000006
POPCAT,16,60,52,4.0,20.0,97,38.1,1.3,365.0,-42.6,465.00000000000006
PEAQ,16,24,52,5.0,12.0,137,40.1,1.42,363.5,-33.4,463.5
AKT,8,60,52,5.0,15.0,176,40.3,1.61,361.4,-47.2,461.4
MUBARAK,10,24,52,4.0,20.0,130,36.9,1.19,355.2,-52.9,455.19999999999993
BROCCOLI,16,48,40,5.0,,81,40.7,1.74,349.5,-40.4,449.5
SPK,8,36,52,10.0,,105,38.1,2.34,347.1,-23.6,447.1
