pairs,n_pairs,months,n_trades,final,ret,ann,pf,dd,pf_2024,ret_2024,dd_2024,pf_2025,ret_2025,dd_2025,pf_2026YTD,ret_2026YTD,dd_2026YTD,min_pf
MNT+ILV+RSR,3,30.8,902,322887.0,322787.0,2224.0,1.64,-57.0,1.34,782.0,-57.0,1.45,1718.0,-37.0,1.74,382.0,-33.0,1.34
SUN+AXS+RSR,3,30.8,996,288869.0,288769.0,2125.0,1.32,-48.0,1.76,3074.0,-48.0,1.57,1083.0,-35.0,1.28,290.0,-46.0,1.28
MNT+ILV+AXS,3,30.8,1047,252085.0,251985.0,2010.0,1.25,-53.0,1.44,1135.0,-53.0,1.3,1133.0,-47.0,1.24,222.0,-47.0,1.24
XCN+ILV+RSR,3,30.8,799,245078.0,244978.0,1987.0,1.55,-56.0,1.2,348.0,-56.0,1.41,8042.0,-32.0,1.52,211.0,-45.0,1.2
XCN+ILV+AXS,3,30.8,944,213960.0,213860.0,1880.0,1.22,-58.0,1.27,464.0,-53.0,1.3,6247.0,-43.0,1.15,112.0,-58.0,1.15
XCN+ILV+AERO,3,21.3,511,185056.0,184956.0,6763.0,1.48,-54.0,1.51,287.0,-38.0,1.35,9884.0,-36.0,1.45,145.0,-54.0,1.35
MNT+AXS+RSR,3,30.8,913,184898.0,184798.0,1770.0,1.29,-63.0,1.47,1099.0,-63.0,1.42,1100.0,-42.0,1.25,235.0,-50.0,1.25
XCN+AXS+RSR,3,30.8,810,142033.0,141933.0,1588.0,1.25,-61.0,1.28,478.0,-61.0,1.39,5543.0,-40.0,1.16,119.0,-52.0,1.16
XCN+AERO+RSR,3,21.3,429,130510.0,130410.0,5540.0,1.59,-49.0,1.48,164.0,-49.0,1.44,7151.0,-36.0,1.49,142.0,-41.0,1.44
MNT+XCN+AERO,3,21.3,552,127057.0,126957.0,5456.0,1.46,-40.0,1.6,299.0,-30.0,1.44,6904.0,-40.0,1.3,68.0,-36.0,1.3
XCN+AXS+AERO,3,21.3,522,105220.0,105120.0,4897.0,1.25,-63.0,1.66,275.0,-33.0,1.33,6470.0,-44.0,1.15,83.0,-63.0,1.15
ILV+AXS+RSR,3,30.8,870,83500.0,83400.0,1272.0,1.32,-59.0,1.33,474.0,-59.0,1.32,1095.0,-42.0,1.33,380.0,-49.0,1.32
SUN+ILV+AERO,3,21.3,658,81998.0,81898.0,4243.0,1.64,-44.0,1.86,772.0,-32.0,1.53,1932.0,-34.0,1.73,295.0,-44.0,1.53
SUN+AERO+RSR,3,21.3,576,64543.0,64443.0,3697.0,1.81,-43.0,1.89,451.0,-43.0,1.7,1513.0,-30.0,1.8,306.0,-25.0,1.7
SUN+MNT+AERO,3,21.3,699,60116.0,60016.0,3548.0,1.63,-33.0,1.97,719.0,-31.0,1.67,1465.0,-33.0,1.6,176.0,-28.0,1.6
SUN+AXS+AERO,3,21.3,669,45281.0,45181.0,3011.0,1.32,-62.0,2.24,751.0,-26.0,1.49,1158.0,-39.0,1.27,204.0,-62.0,1.27
MNT+ILV+AERO,3,21.3,618,28872.0,28772.0,2316.0,1.55,-41.0,1.58,245.0,-28.0,1.38,1842.0,-40.0,1.71,276.0,-37.0,1.38
ILV+AERO+RSR,3,21.3,495,28549.0,28449.0,2300.0,1.72,-49.0,1.43,127.0,-49.0,1.38,1836.0,-39.0,1.9,437.0,-37.0,1.38
MNT+AERO+RSR,3,21.3,536,22761.0,22661.0,2013.0,1.71,-42.0,1.51,126.0,-42.0,1.51,1448.0,-35.0,1.77,275.0,-28.0,1.51
MNT+AXS+AERO,3,21.3,629,15829.0,15729.0,1623.0,1.28,-51.0,1.8,246.0,-44.0,1.35,1119.0,-46.0,1.25,177.0,-51.0,1.25
AXS+AERO+RSR,3,21.3,506,15413.0,15313.0,1597.0,1.35,-51.0,1.57,125.0,-42.0,1.35,1125.0,-40.0,1.33,291.0,-51.0,1.33
ILV+AXS+AERO,3,21.3,588,15168.0,15068.0,1582.0,1.28,-66.0,1.66,235.0,-37.0,1.27,1232.0,-45.0,1.3,263.0,-66.0,1.27
