symbol,strategy,direction,entry_ts,entry_price,exit_ts,exit_price,qty,pos_usd,pnl,fees,reason,bars_held,equity_after
BTCUSDT,bb_mr,LONG,2022-01-06 04:00:00+00:00,43230.0,2022-01-07 12:00:00+00:00,40636.2,0.0038553473667977487,166.66666666666669,-10.177833333333346,0.17783333333333334,sl_6.0pct_hit,8,89.82216666666665
NEARUSDT,hi,LONG,2022-02-02 16:00:00+00:00,11.776,2022-02-02 20:00:00+00:00,11.187199999999999,15.255123414855067,179.64433333333326,-9.174885214166677,0.19266854749999993,sl_5pct_hit,1,80.64728145249997
NEARUSDT,hi,SHORT,2022-02-10 16:00:00+00:00,12.057,2022-02-15 00:00:00+00:00,10.792,13.377669644604788,161.29456290499994,16.7546355948848,0.16811650554026614,hull_ichimoku_close_short,26,97.40191704738477
NEARUSDT,hi,SHORT,2022-02-27 04:00:00+00:00,8.794,2022-02-28 16:00:00+00:00,9.2337,22.15190289910957,194.80383409476957,-9.959833027680334,0.21964132294185268,sl_5pct_hit,9,87.44208401970444
BTCUSDT,bb_mr,SHORT,2022-03-01 00:00:00+00:00,43140.0,2022-03-04 20:00:00+00:00,38610.3,0.003378229177086403,145.7368066995074,15.150470516665708,0.1518941867825616,tp_1.75R_hit,23,102.59255453637014
NEARUSDT,hi,SHORT,2022-03-07 00:00:00+00:00,9.772,2022-03-07 12:00:00+00:00,10.2606,20.9972481654462,205.1851090727403,-10.490601664116527,0.2313462104795147,sl_5pct_hit,3,92.10195287225362
NEARUSDT,hi,SHORT,2022-03-07 20:00:00+00:00,9.649,2022-03-08 20:00:00+00:00,9.727,19.09046592854257,184.20390574450724,-1.6924996197336355,0.20344327730729247,hull_ichimoku_close_short,6,90.40945325251998
NEARUSDT,hi,LONG,2022-03-09 04:00:00+00:00,11.205,2022-03-10 04:00:00+00:00,10.64475,16.13734105355109,180.81890650503996,-9.234873602478652,0.19392827722665537,sl_5pct_hit,6,81.17457965004132
NEARUSDT,hi,LONG,2022-03-17 00:00:00+00:00,10.966,2022-03-18 04:00:00+00:00,10.629,14.804774694517842,162.34915930008265,-5.165049082292971,0.17584001024046203,hull_ichimoku_close_long,7,76.00953056774836
NEARUSDT,hi,LONG,2022-03-18 16:00:00+00:00,11.124,2022-03-20 08:00:00+00:00,10.83,13.665863100997546,152.0190611354967,-4.1827749488789,0.16501119718561508,hull_ichimoku_close_long,10,71.82675561886946
NEARUSDT,hi,LONG,2022-03-21 12:00:00+00:00,11.105,2022-03-21 20:00:00+00:00,10.853,12.935930773321829,143.6535112377389,-3.4160804972334398,0.15622594235633042,hull_ichimoku_close_long,2,68.41067512163602
NEARUSDT,hi,LONG,2022-03-22 00:00:00+00:00,11.211,2022-03-23 04:00:00+00:00,11.063,12.204205712538759,136.82135024327204,-1.955732508378331,0.14951006292259858,hull_ichimoku_close_long,7,66.45494261325769
NEARUSDT,hi,LONG,2022-03-24 00:00:00+00:00,11.999,2022-03-25 12:00:00+00:00,12.214,11.076746831112207,132.90988522651537,2.2339898696271767,0.14751069906194592,hull_ichimoku_close_long,9,68.68893248288487
BTCUSDT,bb_mr,SHORT,2022-03-28 00:00:00+00:00,47016.5,2022-04-03 20:00:00+00:00,46411.5,0.0024349229342494963,114.48155413814145,1.3480088862753612,0.12511948894558406,max_bars_time_exit,41,70.03694136916023
NEARUSDT,hi,LONG,2022-04-02 16:00:00+00:00,14.978,2022-04-04 08:00:00+00:00,15.862,9.17197656334422,137.37786496576973,7.952452215528848,0.15557506646744468,hull_ichimoku_close_long,10,77.98939358468908
BTCUSDT,bb_mr,LONG,2022-04-06 16:00:00+00:00,43752.5,2022-04-11 08:00:00+00:00,41127.35,0.002970854754383143,129.98232264114847,-7.937630496727017,0.13869113825810542,sl_6.0pct_hit,28,70.05176308796206
NEARUSDT,hi,SHORT,2022-04-16 16:00:00+00:00,15.67,2022-04-17 12:00:00+00:00,16.453500000000002,8.940875952515897,140.10352617592412,-7.163143034559576,0.15796672576335447,sl_5pct_hit,5,62.888620053402484
NEARUSDT,hi,SHORT,2022-04-18 12:00:00+00:00,15.383,2022-04-18 20:00:00+00:00,16.15215,8.176379126750634,125.77724010680498,-6.430675843560671,0.14181383822042265,sl_5pct_hit,2,56.45794420984181
NEARUSDT,hi,LONG,2022-04-19 12:00:00+00:00,17.23,2022-04-20 16:00:00+00:00,16.3685,6.553446803231783,112.91588841968363,-5.766896711314288,0.1211022903301107,sl_5pct_hit,7,50.691047498527524
NEARUSDT,hi,SHORT,2022-04-21 20:00:00+00:00,15.629,2022-04-23 12:00:00+00:00,15.779,6.486793460685588,101.38209499705505,-1.0850744840601076,0.11205546495726712,hull_ichimoku_close_short,10,49.605973014467416
NEARUSDT,hi,SHORT,2022-05-05 12:00:00+00:00,11.217,2022-05-07 16:00:00+00:00,10.633,8.844784347769888,99.21194602893483,5.059061863198302,0.10629219589932463,hull_ichimoku_close_short,13,54.66503487766572
NEARUSDT,hi,LONG,2022-05-30 20:00:00+00:00,5.755,2022-06-01 00:00:00+00:00,5.752,18.99740569163014,109.33006975533144,-0.177223948086366,0.12023173101147341,hull_ichimoku_close_long,7,54.487810929579354
BTCUSDT,bb_mr,SHORT,2022-05-30 08:00:00+00:00,30657.0,2022-06-06 04:00:00+00:00,31272.5,0.002971862591342147,91.10839146277621,-1.9304067053638796,0.10122528039278794,max_bars_time_exit,41,52.557404224215475
NEARUSDT,hi,SHORT,2022-06-10 00:00:00+00:00,5.055,2022-06-14 04:00:00+00:00,3.605,20.794225212350337,105.11480844843095,30.05258366322156,0.09904289468642466,hull_ichimoku_close_short,25,82.60998788743703
NEARUSDT,hi,LONG,2022-06-23 16:00:00+00:00,3.493,2022-06-26 16:00:00+00:00,3.936,47.30030798021015,165.21997577487406,20.76076974184136,0.19326669339173969,hull_ichimoku_close_long,18,103.37075762927839
NEARUSDT,hi,LONG,2022-07-07 12:00:00+00:00,3.572,2022-07-08 20:00:00+00:00,3.586,57.87836373419842,206.74151525855677,0.5824357620936,0.2278613301851658,hull_ichimoku_close_long,8,103.95319339137198
